sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
947929,Jesper Lindstrøm,MID,2324,Bund,Germany,0,0,1,0,0,6.5,19.357,2
599114,Jean Butez,GK,2324,Belgium,Belgium,0,0,0,12,76,7.1,14.4,5
994546,Elliot Anderson,MID,2324,PL,England,0,2,24,2,0,6.89,17.375,0
836694,Mason Mount,MID,2324,PL,England,1,0,22,0,0,6.75,17.375,0
845798,Guus Til,MID,2324,Ered,Netherlands,10,5,19,8,0,7.23,10.0,0
1135873,Alejandro Garnacho,MID,2324,PL,England,7,4,22,2,0,7.05,17.375,6
1035752,Giorgi Gocholeishvili,DEF,2324,Ukraine,Ukraine,0,1,0,0,0,6.81,4.1,15
143334,Victor Lindelöf,DEF,2324,PL,England,1,1,15,4,0,6.87,17.375,0
1150938,Leo Sauer,MID,2324,Ered,Netherlands,2,3,3,0,0,7.01,10.0,0
904859,Dmytro Kryskiv,MID,2324,Ukraine,Ukraine,5,2,0,0,0,7.09,4.1,3
846425,Manuel Ugarte,MID,2324,L1,France,0,2,98,7,0,7.14,16.25,3
1030711,David Jurásek,DEF,2324,Bund,Germany,0,1,14,0,0,6.63,19.357,2
1128530,Neil El Aynaoui,MID,2324,L1,France,1,2,37,6,0,6.92,16.25,1
859999,Lisandro Martínez,DEF,2324,PL,England,0,1,12,0,0,6.71,17.375,0
797279,Bart Nieuwkoop,DEF,2324,Ered,Netherlands,1,1,15,0,0,6.76,10.0,1
1003007,Tanguy Nianzou,DEF,2324,LaLiga,Spain,0,0,12,0,0,6.51,16.062,0
1402908,Héctor Fort,DEF,2324,LaLiga,Spain,0,2,6,0,0,6.71,16.062,0
1194333,Abdukodir Khusanov,DEF,2324,L1,France,0,0,21,3,0,6.85,16.25,0
1120701,Isaac Babadi,MID,2324,Ered,Netherlands,1,0,8,0,0,6.84,10.0,0
877037,Cyril Ngonge,FWD,2324,SerieA,Italy,7,2,19,1,0,6.98,21.0,0
845291,Josep Martínez,GK,2425,SerieA,Italy,0,0,0,3,12,7.26,21.875,5
831005,Raphinha,MID,2425,LaLiga,Spain,18,9,36,7,0,7.8,23.892,99
1019322,Florian Wirtz,MID,2425,Bund,Germany,10,12,32,4,0,7.68,18.421,35
259117,Joshua Kimmich,MID,2425,Bund,Germany,3,6,47,15,0,7.91,18.421,21
548848,Pau López,GK,2425,LaLiga,Spain,0,0,0,0,1,6.8,23.892,1
945122,Matheus Nunes,DEF,2425,PL,England,1,6,35,7,0,7.2,29.464,29
253809,Rui Silva,GK,2425,LaLiga,Spain,0,0,0,4,37,7.04,23.892,7
108579,Harry Kane,FWD,2425,Bund,Germany,26,8,13,8,0,7.73,18.421,52
987818,Maurits Kjaergaard,MID,2425,AutBund,Austria,0,2,5,0,0,7.13,9.65,0
1402912,Lamine Yamal,MID,2425,LaLiga,Spain,9,13,42,10,0,7.79,23.892,39
824200,Ademola Lookman,MID,2425,SerieA,Italy,15,5,32,2,0,7.32,21.875,29
38710,Ivan Perišić,MID,2425,Ered,Netherlands,9,8,23,0,0,7.44,15.25,18
941669,Dmytro Riznyk,GK,2425,Ukraine,Ukraine,0,0,0,10,47,6.91,3.6,21
177177,Alejandro Grimaldo,DEF,2425,Bund,Germany,2,7,24,5,0,7.3,18.421,29
818244,Ousmane Dembélé,FWD,2425,L1,France,21,6,11,1,0,7.75,17.928,52
978838,Michael Olise,MID,2425,Bund,Germany,12,15,36,5,0,7.91,18.421,35
827606,Rodri,MID,2425,PL,England,0,0,2,0,0,6.87,29.464,2
889259,Khvicha Kvaratskhelia,MID,2425,L1,France,4,3,19,2,0,7.46,17.928,29
859765,Phil Foden,MID,2425,PL,England,7,2,13,1,0,7.24,29.464,20
934235,Bukayo Saka,MID,2425,PL,England,6,10,29,2,0,7.6,29.464,42
1010231,Jamal Musiala,MID,2425,Bund,Germany,12,2,36,2,0,7.58,18.421,33
814594,Achraf Hakimi,DEF,2425,L1,France,4,6,48,7,0,7.76,17.928,79
895324,Alexis Mac Allister,MID,2425,PL,England,5,5,95,9,0,7.24,29.464,21
944656,Julián Alvarez,FWD,2425,LaLiga,Spain,17,4,25,4,0,7.24,23.892,35
910536,Rodrygo,MID,2425,LaLiga,Spain,6,5,21,1,0,7.4,23.892,38
902029,Vitinha,MID,2425,L1,France,5,1,43,5,0,7.47,17.928,27
868812,Vinícius Júnior,MID,2425,LaLiga,Spain,11,8,21,4,0,7.37,23.892,50
353138,Marcos Llorente,MID,2425,LaLiga,Spain,2,4,69,10,0,7.17,23.892,30
352882,Nuno Santos,MID,2425,Portugal,Portugal,0,0,4,2,0,7.2,16.25,6
328027,Serhou Guirassy,FWD,2425,Bund,Germany,21,2,7,0,0,7.26,18.421,64
70988,Thibaut Courtois,GK,2425,LaLiga,Spain,0,0,0,11,77,7.11,23.892,21
992587,Pedri,MID,2425,LaLiga,Spain,4,5,61,6,0,7.59,23.892,19
901882,Angelo Stiller,MID,2425,Bund,Germany,1,8,49,4,0,7.38,18.421,10
158263,Emiliano Martínez,GK,2425,PL,England,0,0,3,8,100,7.07,29.464,36
839956,Erling Haaland,FWD,2425,PL,England,22,3,11,6,0,7.27,29.464,33
