sofa_id,name,pos,dom_season,ucl_season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
592794,Alex Meret,GK,2223,2324,SerieA,Italy,0,0,0,16,69,6.97,22.357,19
319857,Benjamin Henrichs,DEF,2223,2324,Bund,Germany,2,2,73,5,0,6.91,17.125,13
814594,Achraf Hakimi,DEF,2223,2324,L1,France,5,3,54,8,0,6.92,12.583,23
1149127,Arthur Vermeeren,MID,2223,2324,Belgium,Belgium,1,2,64,11,0,6.98,14.2,17
1402912,Lamine Yamal,MID,2223,2324,LaLiga,Spain,0,0,0,0,0,6.2,16.571,9
851284,Rafael Leão,MID,2223,2324,SerieA,Italy,15,8,8,3,0,7.09,22.357,9
69768,Jan Oblak,GK,2223,2324,LaLiga,Spain,0,0,0,11,61,6.93,16.571,20
353282,Oleksandr Zubkov,FWD,2223,2324,Ukraine,Ukraine,5,3,0,0,0,0,5.7,9
886223,Stephen Eustaquio,MID,2223,2324,Portugal,Portugal,2,5,57,5,0,6.99,12.5,10
153257,Giovanni Di Lorenzo,DEF,2223,2324,SerieA,Italy,3,4,60,17,0,7.17,22.357,23
889259,Khvicha Kvaratskhelia,MID,2223,2324,SerieA,Italy,12,10,43,3,0,7.3,22.357,6
856714,Declan Rice,MID,2223,2324,PL,England,4,2,79,9,0,7.19,23.0,9
839956,Erling Haaland,FWD,2223,2324,PL,England,36,8,3,6,0,7.36,23.0,28
184661,Leon Goretzka,MID,2223,2324,Bund,Germany,3,2,43,2,0,7,17.125,11
798583,Dayot Upamecano,DEF,2223,2324,Bund,Germany,0,1,65,6,0,6.81,17.125,13
784655,Fabián Ruiz,MID,2223,2324,L1,France,3,2,62,3,0,7.07,12.583,11
855833,Ferran Torres,FWD,2223,2324,LaLiga,Spain,4,2,13,4,0,6.79,16.571,16
353138,Marcos Llorente,MID,2223,2324,LaLiga,Spain,1,2,32,5,0,6.97,16.571,6
318941,Rúben Dias,DEF,2223,2324,PL,England,0,0,21,7,0,6.98,23.0,7
383560,Manuel Akanji,DEF,2223,2324,PL,England,0,1,36,6,0,6.85,23.0,16
581310,David Raya,GK,2223,2324,PL,England,0,0,0,12,154,7.18,23.0,21
235672,Matteo Politano,MID,2223,2324,SerieA,Italy,3,3,18,0,0,6.93,22.357,9
827212,Jules Koundé,DEF,2223,2324,LaLiga,Spain,1,3,37,18,0,7.1,16.571,11
37151,Henrikh Mkhitaryan,MID,2223,2324,SerieA,Italy,3,2,41,1,0,6.88,22.357,4
1086417,Rasmus Højlund,FWD,2223,2324,SerieA,Italy,9,2,4,0,0,6.73,22.357,20
917087,Kang-in Lee,MID,2223,2324,LaLiga,Spain,6,6,42,3,0,7.13,16.571,10
331209,Bernardo Silva,MID,2223,2324,PL,England,4,5,44,3,0,6.89,23.0,13
973887,Eduardo Camavinga,MID,2223,2324,LaLiga,Spain,0,1,68,7,0,6.87,16.571,14
922573,Gabriel Martinelli,MID,2223,2324,PL,England,15,5,31,6,0,7.17,23.0,15
992587,Pedri,MID,2223,2324,LaLiga,Spain,6,1,39,10,0,7.28,16.571,12
940871,Nico Schlotterbeck,DEF,2223,2324,Bund,Germany,4,5,59,8,0,7.27,17.125,34
966575,Rodrigo Zalazar,MID,2223,2324,Bund,Germany,1,6,16,1,0,6.85,17.125,9
84539,Koke,MID,2223,2324,LaLiga,Spain,0,3,55,3,0,6.88,16.571,9
910536,Rodrygo,MID,2223,2324,LaLiga,Spain,9,8,17,4,0,7.1,16.571,34
149380,Harry Maguire,DEF,2223,2324,PL,England,0,0,8,5,0,6.95,23.0,10
97001,João Mário,FWD,2223,2324,Portugal,Portugal,17,7,45,9,0,7.35,12.5,12
989768,Nuno Mendes,DEF,2223,2324,L1,France,1,5,45,2,0,7.02,12.583,3
332155,Amir Rrahmani,DEF,2223,2324,SerieA,Italy,2,1,33,10,0,7.18,22.357,15
1136731,Rico Lewis,DEF,2223,2324,PL,England,0,0,16,1,0,6.83,23.0,15
